,Date,Price_Per_Unit,Advertising_costs,Discount,Temperature,Monthly_sales_total
0,1/4/2004,0.5103140995034993,0.6101744058609622,0.0,0.7142857142857143,0.06240274353112608
1,1/8/2004,0.880952380952381,0.47559094078705794,0.5803016858917479,0.8571428571428571,0.07010892284983794
2,1/7/2004,0.8690476190476192,0.4379104217271443,0.7570541259982253,0.5714285714285713,0.07320417252744166
3,1/9/2004,0.7380952380952379,0.5037738709562742,0.5422360248447204,0.38095238095238093,0.07378553227715108
4,1/6/2004,0.5833333333333334,0.5110867266767134,0.5962732919254659,0.19047619047619035,0.07466236724648811
5,1/5/2004,0.7619047619047621,0.8302625451838788,0.5973380656610471,0.7619047619047621,0.07714755318958888
6,1/3/2004,0.5952380952380952,0.8181863894282522,0.5053238686779059,0.7142857142857143,0.07770599842292343
7,1/10/2004,0.7380952380952379,0.6286968596971314,0.6541259982253771,0.09523809523809523,0.08404581618591961
8,1/11/2004,0.7261904761904762,0.6017317469825054,0.8262644188110027,0.9047619047619048,0.09266361587398307
9,1/12/2004,0.5714285714285715,0.6495593641171251,0.4787045252883762,0.19047619047619035,0.10046785635933436
10,1/12/2005,0.9047619047619048,0.3065134069513349,0.4727595385980479,0.4761904761904762,0.008779348717430524
11,1/1/2005,0.8452380952380952,0.29815666391031725,0.4044365572315883,0.7619047619047621,0.015814338825367757
12,1/11/2005,0.9880952380952382,0.29815666391031725,0.5758651286601597,0.6666666666666666,0.04804302996974746
13,1/8/2005,0.8452380952380952,0.3310125682026246,0.3385980479148181,0.8571428571428571,0.051998029084290964
14,1/5/2005,0.8452380952380952,0.263716744730188,0.4138420585625554,0.7619047619047621,0.053298387421704514
15,1/4/2005,0.880952380952381,0.3468908527828598,0.6286601597160604,0.23809523809523805,0.05739077259174991
16,1/2/2005,0.6785714285714285,0.6253930390619498,0.43265306122448977,0.8095238095238094,0.06021201032061724
17,1/9/2005,0.8452380952380952,0.6185585679582521,0.42324755989352253,0.6190476190476191,0.06248968753682044
18,1/6/2005,0.8333333333333334,0.6283986274755933,0.6242236024844721,0.04761904761904756,0.06493283829206102
