Date,Price_Per_Unit,Advertising_costs,Discount,Temperature,Monthly_sales_total
1/10/2012,7.2,6917733.284,0.6264,26.0,861705889.6
1/2/2012,6.2,7172122.89,0.5828,21.0,871121358.4
1/11/2012,7.7,7315006.9010000015,0.7084,20.0,874983932.6
1/9/2012,6.9,6996340.449,0.7038,21.0,893923810.2
1/8/2012,7.7,7147632.864,0.693,24.0,902975217.3
1/3/2012,6.4,6970366.162000001,0.5632,37.0,958755883.9
1/4/2012,7.7,6490472.271000002,0.6622,35.0,966735733.0
1/7/2012,6.4,5727769.76,0.7104,31.0,969250648.4
1/5/2012,5.7,5727769.76,0.6441,33.0,1028845761.0
1/6/2012,7.7,5843913.371,0.7315,37.0,1032042960.0
1/1/2013,9.7,7244415.589,0.9215,28.0,701515154.9
1/2/2013,8.7,6201478.7579999985,0.9483,35.0,822342767.1
1/10/2013,7.5,6781963.511,0.72,38.0,952471654.3
1/12/2013,7.6,6234998.788,0.7296,22.0,985516628.4
1/9/2013,6.1,6781963.511,0.61,25.0,1003274253.0
1/8/2013,7.7,6639756.797,0.8932,29.0,1007127290.0
1/11/2013,6.2,6610488.161,0.6696,31.0,1009512917.0
1/3/2013,6.4,6133294.067000002,0.608,37.0,1033319931.0
1/4/2013,6.4,7846427.51,0.3776,20.0,1151538124.0
1/5/2013,6.1,7372736.05,0.2501,24.0,1178714674.0
1/6/2013,6.7,7437522.046,0.7839,30.0,1217058531.0
1/7/2013,6.3,7408825.502,0.5796,37.0,1266324418.0
1/1/2014,6.6,4811624.798,0.5676,37.0,834821728.2
1/12/2014,7.1,5565568.055,0.8094,23.0,976567717.4
1/10/2014,7.7,7603050.91,0.7315,34.0,1055163410.0
1/8/2014,7.8,7706867.498,0.273,31.0,1096219450.0
1/2/2014,5.9,7495512.512999998,0.2124,26.0,1119969412.0
1/9/2014,5.3,7560497.045,0.6095,22.0,1138322755.0
1/11/2014,5.6,7998358.924,0.5208,19.0,1143307754.0
1/3/2014,6.2,7373622.123,0.7874,37.0,1266053612.0
1/4/2014,5.7,7401084.26,0.7353,26.0,1329721639.0
1/5/2014,7.678216397011065,7521874.187000001,0.0,21.0,1355776618.0
1/6/2014,6.7,6925582.262,0.0,28.0,1442096282.0
1/7/2014,5.9,6650320.945,0.5605,38.0,1510162041.0
1/1/2015,5.7,5437889.332,0.5472,21.0,978841685.5
1/2/2015,6.7,7506335.036,0.7906,33.0,1228930307.0
1/10/2015,4.9,7473872.916,0.6223,35.0,1241555008.0
