Date,Monthly_sales_total
2004-01-03,0.07770599842292343
2004-01-04,0.06240274353112608
2004-01-05,0.07714755318958888
2004-01-06,0.07466236724648811
2004-01-07,0.07320417252744166
2004-01-08,0.07010892284983794
2004-01-09,0.07378553227715108
2004-01-10,0.08404581618591961
2004-01-11,0.09266361587398307
2004-01-12,0.10046785635933436
2005-01-01,0.015814338825367757
2005-01-02,0.06021201032061724
2005-01-03,0.06616951048645442
2005-01-04,0.05739077259174991
2005-01-05,0.053298387421704514
2005-01-06,0.06493283829206102
2005-01-07,0.06654373067239727
2005-01-08,0.051998029084290964
2005-01-09,0.06248968753682044
2005-01-10,0.07105011607794326
2005-01-11,0.04804302996974746
2005-01-12,0.008779348717430524
2006-01-01,0.020936463277776932
2006-01-02,0.055992803272358886
2006-01-03,0.05803123936298976
2006-01-04,0.050417031834043065
2006-01-05,0.20986790818910414
2006-01-06,0.07004698920721303
2006-01-07,0.06129763156950169
2006-01-08,0.035507838856173424
2006-01-09,0.20986790818910414
2006-01-10,0.05414957275404392
2006-01-11,0.06868365565558754
2006-01-12,0.06461543621086102
2007-01-01,0.018376847760084414
2007-01-02,0.0462946738492479
2007-01-03,0.03808274759760144
2007-01-04,0.0
2007-01-05,0.07536178730909948
2007-01-06,0.08146365010478374
2007-01-07,0.07260525323425471
2007-01-08,0.05985219809281068
2007-01-09,0.05757610764582227
2007-01-10,0.045458696387037145
2007-01-11,0.06537627164759112
2007-01-12,0.06546409483056148
2008-01-01,0.02628761341059327
2008-01-02,0.049229269598067386
2008-01-03,0.08045873543309245
2008-01-04,0.09980588364039976
2008-01-05,0.09191526870027444
2008-01-06,0.10317366492609686
2008-01-07,0.20986790818910414
2008-01-08,0.024205705697635416
2008-01-09,0.04049482056598641
2008-01-10,0.061546667636152526
2008-01-11,0.07519979365651969
2008-01-12,0.01569908013631044
2009-01-01,0.04238613701160071
2009-01-02,0.07679172530093581
2009-01-03,0.0997880121874451
2009-01-04,0.08586875596241933
2009-01-05,0.11407192618444545
2009-01-06,0.13164099900003678
2009-01-07,0.08710460043757534
2009-01-08,0.08946337657656402
2009-01-09,0.08102599433373397
2009-01-10,0.07834687024327586
2009-01-11,0.08949583184652682
2009-01-12,0.07539253222859649
2010-01-01,0.05649264060957615
2010-01-02,0.10391487307260766
2010-01-03,0.13751839866953958
2010-01-04,0.15798600141274904
2010-01-05,0.15579077782976847
2010-01-06,0.14303022521110248
2010-01-07,0.17746288224359774
2010-01-08,0.11625230058148785
2010-01-09,0.1186956070573007
2010-01-10,0.09811158404323134
2010-01-11,0.10853043622032248
2010-01-12,0.057268945714329327
2011-01-01,0.08630372719276136
2011-01-02,0.07970596942470876
2011-01-03,0.14200242816235747
2011-01-04,0.21240577985982734
2011-01-05,0.21944236557675625
2011-01-06,0.22191277375463225
2011-01-07,0.2448447394977277
2011-01-08,0.1596813136034282
2011-01-09,0.13811686684139954
2011-01-10,0.11167062386946153
2011-01-11,0.15581502844036166
2011-01-12,0.14312137150620985
2012-01-01,0.10253817389547336
2012-01-02,0.18677867662416225
2012-01-03,0.2380813024170243
2012-01-04,0.2427528312457028
2012-01-05,0.27911301584518666
2012-01-06,0.28098470628849626
2012-01-07,0.2442251021678167
2012-01-08,0.20542642525840715
2012-01-09,0.200127589568926
2012-01-10,0.18126671350512005
2012-01-11,0.1890398881460956
2012-01-12,0.1804236629335174
2013-01-01,0.0874885447878404
2013-01-02,0.1582229241751249
2013-01-03,0.2817322651414432
2013-01-04,0.3509390495997826
2013-01-05,0.3668486282394364
2013-01-06,0.3892957235583472
2013-01-07,0.41813674655349575
2013-01-08,0.2663986822632
2013-01-09,0.2641430539677395
2013-01-10,0.23440241583977886
2013-01-11,0.26779526572803936
2013-01-12,0.2537474619949853
2014-01-01,0.16552830373808014
2014-01-02,0.3324582304333842
2014-01-03,0.4179782124734491
2014-01-04,0.4552504741250608
2014-01-05,0.470503467509248
2014-01-06,0.5210363527561428
2014-01-07,0.5608831156998656
2014-01-08,0.31855463015565233
2014-01-09,0.3432025653014612
2014-01-10,0.2945197803674057
2014-01-11,0.3461208619067734
2014-01-12,0.24850862913011595
2015-01-01,0.24983984572350315
2015-01-02,0.3962456474399421
2015-01-03,0.5467051556779389
2015-01-04,0.5429806281034617
2015-01-05,0.6167820856191221
2015-01-06,0.6752577064768855
2015-01-07,0.7199961800549376
2015-01-08,0.5012685124266374
2015-01-09,0.4397583390188846
2015-01-10,0.403636345426317
2015-01-11,0.4584741539933895
2015-01-12,0.4222479616775972
2016-01-01,0.4820765209192056
2016-01-02,0.5728080179866056
2016-01-03,0.20986790818910414
2016-01-04,0.7806060988803253
2016-01-05,0.8367248373603003
2016-01-06,0.8704038614423236
2016-01-07,1.0
2016-01-08,0.6721692002611012
2016-01-09,0.5798049466498124
2016-01-10,0.5413099184752858
2016-01-11,0.6087830699005252
2016-01-12,0.5738754274803977
